n_components	stress1	n_iter	pearson_r	pearson_p	spearman_rho	spearman_p
2	0.4264015951420366	10	0.44828673623485665	0.0	0.42911245278119525	0.0
3	0.3363750361811807	8	0.45123185932879656	0.0	0.43150135175787424	0.0
5	0.25565643202406074	5	0.46676159233500003	0.0	0.4404694131471185	0.0
