method	method_key	configuration_id	configuration_label	is_primary	k	metric	perplexity	n_neighbors	min_dist	pre_pca_components	silhouette	calinski_harabasz	davies_bouldin	inertia
UMAP	umap	umap__metric-cosine__nn-15__mindist-0p1	metric=cosine, n_neighbors=15, min_dist=0.1	False	3	cosine		15.0	0.1		0.4918759297658693	526.5516523672653	0.6985474773873565	868.9155331592417
UMAP	umap	umap__metric-cosine__nn-15__mindist-0p5	metric=cosine, n_neighbors=15, min_dist=0.5	False	3	cosine		15.0	0.5		0.4312690435307934	422.480404867273	0.8170926691834168	1401.840861185713
UMAP	umap	umap__metric-cosine__nn-15__mindist-1	metric=cosine, n_neighbors=15, min_dist=1	False	3	cosine		15.0	1.0		0.4116195593535661	383.6538059207836	0.8317948375943228	2371.8642978853186
UMAP	umap	umap__metric-cosine__nn-30__mindist-0	metric=cosine, n_neighbors=30, min_dist=0	False	2	cosine		30.0	0.0		0.5113986547075355	631.2007159661052	0.743837609368314	920.2790203128131
UMAP	umap	umap__metric-cosine__nn-30__mindist-0p1	metric=cosine, n_neighbors=30, min_dist=0.1	False	2	cosine		30.0	0.1		0.4860061877060996	543.7640137717749	0.802869812445086	1006.13634949337
UMAP	umap	umap__metric-cosine__nn-30__mindist-0p5	metric=cosine, n_neighbors=30, min_dist=0.5	False	2	cosine		30.0	0.5		0.4295304452129029	403.3830201934561	0.9262996431821464	1766.680206979952
UMAP	umap	umap__metric-cosine__nn-30__mindist-1	metric=cosine, n_neighbors=30, min_dist=1	False	2	cosine		30.0	1.0		0.4131847735784942	370.1146987635494	0.9629222501176478	3013.9459400921032
UMAP	umap	umap__metric-cosine__nn-50__mindist-0	metric=cosine, n_neighbors=50, min_dist=0	False	2	cosine		50.0	0.0		0.5705125641110892	775.0400699276752	0.5938155698056514	884.4990548038746
UMAP	umap	umap__metric-cosine__nn-50__mindist-0p1	metric=cosine, n_neighbors=50, min_dist=0.1	False	2	cosine		50.0	0.1		0.4893815425738895	561.0071586766485	0.7925147641962618	949.1492517020368
UMAP	umap	umap__metric-cosine__nn-50__mindist-0p5	metric=cosine, n_neighbors=50, min_dist=0.5	False	2	cosine		50.0	0.5		0.4524430145509084	472.29940235195113	0.8606397437470069	1661.5958684090187
UMAP	umap	umap__metric-cosine__nn-50__mindist-1	metric=cosine, n_neighbors=50, min_dist=1	False	2	cosine		50.0	1.0		0.4258716095196372	406.35358224391626	0.9240941903635616	2817.181748114218
UMAP	umap	umap__metric-cosine__nn-5__mindist-0	metric=cosine, n_neighbors=5, min_dist=0	False	3	cosine		5.0	0.0		0.5656209325281261	639.2615288707674	0.6113528040008833	1324.7513984316474
UMAP	umap	umap__metric-cosine__nn-5__mindist-0p1	metric=cosine, n_neighbors=5, min_dist=0.1	False	3	cosine		5.0	0.1		0.5439817579600412	556.4550030214084	0.632485900370368	1350.005908446888
UMAP	umap	umap__metric-cosine__nn-5__mindist-0p5	metric=cosine, n_neighbors=5, min_dist=0.5	False	3	cosine		5.0	0.5		0.4517999440413019	439.3049452997312	0.7689712005579029	2221.9256269901075
UMAP	umap	umap__metric-cosine__nn-5__mindist-1	metric=cosine, n_neighbors=5, min_dist=1	False	4	cosine		5.0	1.0		0.4150382554631747	418.2259455209974	0.8243739486398232	2368.5949346300513
UMAP	umap	umap__metric-euclidean__nn-15__mindist-0	metric=euclidean, n_neighbors=15, min_dist=0	False	9	euclidean		15.0	0.0		0.450411922200731	528.897041483027	0.6997277911621999	155.22389497938292
UMAP	umap	umap__metric-euclidean__nn-15__mindist-0p5	metric=euclidean, n_neighbors=15, min_dist=0.5	False	5	euclidean		15.0	0.5		0.3865785228950319	395.52001775433854	0.810574417704194	675.1482061037193
UMAP	umap	umap__metric-euclidean__nn-15__mindist-1	metric=euclidean, n_neighbors=15, min_dist=1	False	3	euclidean		15.0	1.0		0.382166018638053	341.3311272983809	0.881594320542925	2095.9729858604064
UMAP	umap	umap__metric-euclidean__nn-30__mindist-0	metric=euclidean, n_neighbors=30, min_dist=0	False	4	euclidean		30.0	0.0		0.4314497423798119	455.7086712348621	0.7584061725679224	328.0176665933159
UMAP	umap	umap__metric-euclidean__nn-30__mindist-0p1	metric=euclidean, n_neighbors=30, min_dist=0.1	False	5	euclidean		30.0	0.1		0.4296667309388945	475.6137722866258	0.766351374986318	293.53799064908253
UMAP	umap	umap__metric-euclidean__nn-30__mindist-0p5	metric=euclidean, n_neighbors=30, min_dist=0.5	False	5	euclidean		30.0	0.5		0.3973767461620564	422.55528210595605	0.7913215938755719	563.1189722181741
UMAP	umap	umap__metric-euclidean__nn-30__mindist-1	metric=euclidean, n_neighbors=30, min_dist=1	False	2	euclidean		30.0	1.0		0.39016288186006	352.307291682571	0.994959420043502	2663.406087683164
UMAP	umap	umap__metric-euclidean__nn-50__mindist-0	metric=euclidean, n_neighbors=50, min_dist=0	False	6	euclidean		50.0	0.0		0.4318038918932705	519.5235786771107	0.7761314056619231	179.6856832530657
UMAP	umap	umap__metric-euclidean__nn-50__mindist-0p1	metric=euclidean, n_neighbors=50, min_dist=0.1	False	5	euclidean		50.0	0.1		0.4214585845210684	479.59995585783065	0.7673214114671707	269.478304615116
UMAP	umap	umap__metric-euclidean__nn-50__mindist-0p5	metric=euclidean, n_neighbors=50, min_dist=0.5	False	2	euclidean		50.0	0.5		0.3949798759493921	359.6974262921499	0.9867895068801128	1410.6461301301397
UMAP	umap	umap__metric-euclidean__nn-50__mindist-1	metric=euclidean, n_neighbors=50, min_dist=1	False	2	euclidean		50.0	1.0		0.3845826050347992	340.5034464796215	1.0109981801536705	2462.594960961693
UMAP	umap	umap__metric-euclidean__nn-5__mindist-0	metric=euclidean, n_neighbors=5, min_dist=0	False	9	euclidean		5.0	0.0		0.5098130474308911	629.8855598250202	0.6834378153956983	222.41419439573951
UMAP	umap	umap__metric-euclidean__nn-5__mindist-0p1	metric=euclidean, n_neighbors=5, min_dist=0.1	False	9	euclidean		5.0	0.1		0.4637710459433858	510.6752296305556	0.6955863058978297	292.2415143971597
UMAP	umap	umap__metric-euclidean__nn-5__mindist-0p5	metric=euclidean, n_neighbors=5, min_dist=0.5	False	6	euclidean		5.0	0.5		0.4038283459620581	391.4726521861437	0.7708813044523307	821.7394422103098
UMAP	umap	umap__metric-euclidean__nn-5__mindist-1	metric=euclidean, n_neighbors=5, min_dist=1	False	6	euclidean		5.0	1.0		0.3773542755885128	348.99986491730454	0.8031650364893164	1460.7602365256305
