test_id	method	method_key	configuration_id	configuration_label	is_primary	k	metric	perplexity	n_neighbors	min_dist	pre_pca_components	analysis_scope	variable	status	n	n_clusters	n_categories	test	statistic	chi_square_statistic	degrees_of_freedom	p_value	cramers_v	fisher_odds_ratio	min_expected_count	cells_expected_lt5	fraction_cells_expected_lt5	family	effect_size	effect_size_name	epsilon_squared	q_value	q_value_family	q_value_scope	q_value_family_scope
categorical::pca__primary::histological_grade	PCA	pca	pca__primary	primary	True	2						primary	histological_grade	ok	412	2	4.0	permutation_chi_square_5000	22.211992513373808	22.211992513373808	3.0	0.0001999600079984003	0.21616434528197612		3.6699029126213594	2.0	0.25	categorical	0.21616434528197612	cramers_v		0.0014753805995557645	0.0013868785875852353	0.0012573756303270506	0.0013057362314934755
categorical::pca__primary::tumor_status	PCA	pca	pca__primary	primary	True	2						primary	tumor_status	ok	369	2	2.0	fisher_exact	1.8246869409660107	7.545801774398983	1.0	0.00820115192170904	0.13334261096681402	1.8246869409660107	55.50677506775068	0.0	0.0	categorical	0.13334261096681402	cramers_v		0.02139090262382071	0.021379554664869082	0.020307614282327142	0.020718699591685995
categorical::pca__primary::vital_status	PCA	pca	pca__primary	primary	True	2						primary	vital_status	ok	411	2	2.0	fisher_exact	1.8872266973532796	9.55910718973512	1.0	0.002755185331519362	0.14446468948177843	1.8872266973532796	64.99270072992701	0.0	0.0	categorical	0.14446468948177843	cramers_v		0.011226352171713222	0.011079362290577861	0.008954352327437926	0.009446349708066385
categorical::pca__primary::OS	PCA	pca	pca__primary	primary	True	2						primary	OS	ok	412	2	2.0	fisher_exact	1.8987341772151898	9.753545273818547	1.0	0.002022552683252077	0.14591905223604842	1.8987341772151898	64.83495145631068	0.0	0.0	categorical	0.14591905223604842	cramers_v		0.009151771533610227	0.009047632121530001	0.008764394960759	0.009436430208387633
categorical::pca__primary::DSS	PCA	pca	pca__primary	primary	True	2						primary	DSS	ok	389	2	2.0	fisher_exact	1.684840425531915	4.896215935119308	1.0	0.03161926651229302	0.10017593388961725	1.684840425531915	39.732647814910024	0.0	0.0	categorical	0.10017593388961725	cramers_v		0.054748793390207155	0.05533371639651279	0.055455575551556356	0.05687751338621165
categorical::pca__primary::DFI	PCA	pca	pca__primary	primary	True	2						primary	DFI	ok	242	2	2.0	fisher_exact	2.1802451333813986	5.388296138053507	1.0	0.025525392108227914	0.13487695706848002	2.1802451333813986	17.235537190082646	0.0	0.0	categorical	0.13487695706848002	cramers_v		0.04708400030774473	0.04741325905115554	0.047404299629566125	0.0490087528477976
categorical::pca__primary::PFI	PCA	pca	pca__primary	primary	True	2						primary	PFI	ok	412	2	2.0	fisher_exact	1.7890789078907892	7.494001091890578	1.0	0.007332813488829951	0.12567681906723513	1.7890789078907892	54.23300970873787	0.0	0.0	categorical	0.12567681906723513	cramers_v		0.019820377053966103	0.01979859641984087	0.01906531507095787	0.01955416930354654
categorical::tsne__primary::center_code	t-SNE	tsne	tsne__primary	primary	True	3						primary	center_code	ok	412	3	2.0	chi_square	5.331887250596935	5.331887250596935	2.0	0.06953370879940482	0.08997216069006202		56.79611650485437	0.0	0.0	categorical	0.08997216069006202	cramers_v		0.09626064021929479	0.09741247693986756	0.10956826841118335	0.11125393407904771
categorical::tsne__primary::gender	t-SNE	tsne	tsne__primary	primary	True	3						primary	gender	ok	412	3	2.0	chi_square	2.029196111783713	2.029196111783713	2.0	0.36254812463256014	0.0076939758669165486		42.81553398058252	0.0	0.0	categorical	0.0076939758669165486	cramers_v		0.4045325804823798	0.4078666402116302	0.42846596547484384	0.42444658493568016
categorical::tsne__primary::race	t-SNE	tsne	tsne__primary	primary	True	3						primary	race	ok	358	3	4.0	permutation_chi_square_5000	9.440980839541243	9.440980839541243	6.0	0.1191761647670466	0.06934918162826527		0.2988826815642458	6.0	0.5	categorical	0.06934918162826527	cramers_v		0.15132601386699404	0.15296635070269476	0.18226942846724772	0.1845308357683302
categorical::tsne__primary::ajcc_pathologic_tumor_stage	t-SNE	tsne	tsne__primary	primary	True	3						primary	ajcc_pathologic_tumor_stage	ok	388	3	11.0	permutation_chi_square_5000	17.654649916787672	17.654649916787672	20.0	0.6224755048990201	0.0		0.5824742268041238	7.0	0.21212121212121213	categorical	0.0	cramers_v		0.6655449588933388	0.6684538092381523	0.6346809069558637	0.6224755048990201
categorical::tsne__primary::histological_type	t-SNE	tsne	tsne__primary	primary	True	3						primary	histological_type	ok	410	3	7.0	permutation_chi_square_5000	60.782814238095355	60.782814238095355	12.0	0.0001999600079984003	0.24443326486498618		2.048780487804878	6.0	0.2857142857142857	categorical	0.24443326486498618	cramers_v		0.0014753805995557645	0.0013868785875852353	0.0012573756303270506	0.0013057362314934755
categorical::tsne__primary::histological_grade	t-SNE	tsne	tsne__primary	primary	True	3						primary	histological_grade	ok	412	3	4.0	permutation_chi_square_5000	37.12939823791093	37.12939823791093	6.0	0.0001999600079984003	0.19479560581061303		2.621359223300971	6.0	0.5	categorical	0.19479560581061303	cramers_v		0.0014753805995557645	0.0013868785875852353	0.0012573756303270506	0.0013057362314934755
categorical::tsne__primary::tumor_status	t-SNE	tsne	tsne__primary	primary	True	3						primary	tumor_status	ok	369	3	2.0	chi_square	11.41097250065787	11.41097250065787	2.0	0.0033276589164302913	0.15987093275140055		40.36856368563686	0.0	0.0	categorical	0.15987093275140055	cramers_v		0.012245730985451946	0.012118926078797857	0.009619873812195	0.009989868958817885
categorical::tsne__primary::vital_status	t-SNE	tsne	tsne__primary	primary	True	3						primary	vital_status	ok	411	3	2.0	chi_square	12.094747347875956	12.094747347875956	2.0	0.0023640626598331383	0.15687442020081663		46.42335766423358	0.0	0.0	categorical	0.15687442020081663	cramers_v		0.010199820050838127	0.010046406341435749	0.00885975947343061	0.009436430208387633
categorical::tsne__primary::OS	t-SNE	tsne	tsne__primary	primary	True	3						primary	OS	ok	412	3	2.0	chi_square	12.409587602368568	12.409587602368568	2.0	0.0020197252307865223	0.15910931388866872		46.310679611650485	0.0	0.0	categorical	0.15910931388866872	cramers_v		0.009151771533610227	0.009047632121530001	0.008764394960759	0.009436430208387633
categorical::tsne__primary::DSS	t-SNE	tsne	tsne__primary	primary	True	3						primary	DSS	ok	389	3	2.0	chi_square	11.938858359362385	11.938858359362385	2.0	0.0025556998481049836	0.16000780994155755		28.627249357326477	0.0	0.0	categorical	0.16000780994155755	cramers_v		0.01053574688169272	0.0104050304191407	0.00885975947343061	0.009436430208387633
categorical::tsne__primary::DFI	t-SNE	tsne	tsne__primary	primary	True	3						primary	DFI	ok	242	3	2.0	chi_square	9.219410645601254	9.219410645601254	2.0	0.00995475131391983	0.17298017597637563		12.438016528925619	0.0	0.0	categorical	0.17298017597637563	cramers_v		0.024192704231751756	0.024121128183728822	0.022506394274949184	0.022753717288959613
categorical::tsne__primary::PFI	t-SNE	tsne	tsne__primary	primary	True	3						primary	PFI	ok	412	3	2.0	chi_square	16.865495408902316	16.865495408902316	2.0	0.0002176227052489126	0.19015115771813382		38.737864077669904	0.0	0.0	categorical	0.19015115771813382	cramers_v		0.0015772831468925611	0.0014821870735871885	0.0012573756303270506	0.0013057362314934755
categorical::umap__metric-euclidean__nn-15__mindist-0p1::center_code	UMAP	umap	umap__metric-euclidean__nn-15__mindist-0p1	metric=euclidean, n_neighbors=15, min_dist=0.1	True	9	euclidean		15.0	0.1		primary	center_code	ok	412	9	2.0	chi_square	47.19404423253907	47.19404423253907	8.0	1.4081407994173496e-07	0.30873263980616145		8.992718446601941	0.0	0.0	categorical	0.30873263980616145	cramers_v		8.987551982719246e-06	8.296201830202382e-06	7.322332156970218e-06	6.759075837203278e-06
categorical::umap__metric-euclidean__nn-15__mindist-0p1::gender	UMAP	umap	umap__metric-euclidean__nn-15__mindist-0p1	metric=euclidean, n_neighbors=15, min_dist=0.1	True	9	euclidean		15.0	0.1		primary	gender	ok	412	9	2.0	chi_square	10.307057808331079	10.307057808331079	8.0	0.24413243140560584	0.07460531396963711		6.779126213592233	0.0	0.0	categorical	0.07460531396963711	cramers_v		0.28401201892214656	0.2861459196009892	0.3173721608272876	0.3167123434451103
categorical::umap__metric-euclidean__nn-15__mindist-0p1::race	UMAP	umap	umap__metric-euclidean__nn-15__mindist-0p1	metric=euclidean, n_neighbors=15, min_dist=0.1	True	9	euclidean		15.0	0.1		primary	race	ok	358	9	4.0	permutation_chi_square_5000	30.98198362989586	30.98198362989586	24.0	0.15116976604679064	0.08057842781054421		0.05307262569832402	19.0	0.5277777777777778	categorical	0.08057842781054421	cramers_v		0.1842381523695261	0.18552653105742486	0.21835632873425315	0.2198832960680591
