test_id	method	method_key	configuration_id	configuration_label	is_primary	k	metric	perplexity	n_neighbors	min_dist	pre_pca_components	analysis_scope	variable	status	n	n_clusters	n_categories	test	statistic	chi_square_statistic	degrees_of_freedom	p_value	cramers_v	fisher_odds_ratio	min_expected_count	cells_expected_lt5	fraction_cells_expected_lt5	family	effect_size	effect_size_name	epsilon_squared	q_value	q_value_family	q_value_scope	q_value_family_scope
categorical::tsne__metric-correlation__perplexity-30::gender	t-SNE	tsne	tsne__metric-correlation__perplexity-30	metric=correlation, perplexity=30	False	4	correlation	30.0				sensitivity	gender	ok	412	4	2.0	chi_square	2.482338645261328	2.482338645261328	3.0	0.4784913429410501	0.0		29.97087378640777	0.0	0.0	categorical	0.0	cramers_v		0.5239096388619252	0.5273169901799328	0.5235418830753001	0.527682041748074
categorical::tsne__metric-correlation__perplexity-30::race	t-SNE	tsne	tsne__metric-correlation__perplexity-30	metric=correlation, perplexity=30	False	4	correlation	30.0				sensitivity	race	ok	358	4	4.0	permutation_chi_square_5000	7.745961149407482	7.745961149407482	9.0	0.5824835032993402	0.0		0.2122905027932961	8.0	0.5	categorical	0.0	cramers_v		0.6293588248049599	0.6326975984113522	0.6292462634233716	0.6334843630352271
categorical::tsne__metric-correlation__perplexity-30::ajcc_pathologic_tumor_stage	t-SNE	tsne	tsne__metric-correlation__perplexity-30	metric=correlation, perplexity=30	False	4	correlation	30.0				sensitivity	ajcc_pathologic_tumor_stage	ok	388	4	11.0	permutation_chi_square_5000	29.324559518457633	29.324559518457633	30.0	0.4993001399720056	0.0		0.41237113402061853	12.0	0.2727272727272727	categorical	0.0	cramers_v		0.5452357528494302	0.5486495724110991	0.5447556292439948	0.5489200296586646
categorical::tsne__metric-correlation__perplexity-30::histological_type	t-SNE	tsne	tsne__metric-correlation__perplexity-30	metric=correlation, perplexity=30	False	4	correlation	30.0				sensitivity	histological_type	ok	410	4	7.0	permutation_chi_square_5000	84.55487851845379	84.55487851845379	18.0	0.0001999600079984003	0.23339545344935883		1.4341463414634146	10.0	0.35714285714285715	categorical	0.23339545344935883	cramers_v		0.0014753805995557645	0.0013868785875852353	0.0014890225838327478	0.0013879577025771317
categorical::tsne__metric-correlation__perplexity-30::histological_grade	t-SNE	tsne	tsne__metric-correlation__perplexity-30	metric=correlation, perplexity=30	False	4	correlation	30.0				sensitivity	histological_grade	ok	412	4	4.0	permutation_chi_square_5000	61.385300978107935	61.385300978107935	9.0	0.0001999600079984003	0.20658345005717688		1.8349514563106797	8.0	0.5	categorical	0.20658345005717688	cramers_v		0.0014753805995557645	0.0013868785875852353	0.0014890225838327478	0.0013879577025771317
categorical::tsne__metric-correlation__perplexity-30::tumor_status	t-SNE	tsne	tsne__metric-correlation__perplexity-30	metric=correlation, perplexity=30	False	4	correlation	30.0				sensitivity	tumor_status	ok	369	4	2.0	chi_square	12.2226378366362	12.2226378366362	3.0	0.00665813892378346	0.15823889569679422		26.67208672086721	0.0	0.0	categorical	0.15823889569679422	cramers_v		0.018916164275711873	0.018689817010874292	0.018891789203137298	0.018605723346033463
categorical::tsne__metric-correlation__perplexity-30::vital_status	t-SNE	tsne	tsne__metric-correlation__perplexity-30	metric=correlation, perplexity=30	False	4	correlation	30.0				sensitivity	vital_status	ok	411	4	2.0	chi_square	13.613882898221839	13.613882898221839	3.0	0.0034807406715671417	0.16084099800575094		32.496350364963504	0.0	0.0	categorical	0.16084099800575094	cramers_v		0.01255826700446471	0.012412452583513015	0.012773818636803816	0.012573287731987431
categorical::tsne__metric-correlation__perplexity-30::OS	t-SNE	tsne	tsne__metric-correlation__perplexity-30	metric=correlation, perplexity=30	False	4	correlation	30.0				sensitivity	OS	ok	412	4	2.0	chi_square	13.746806872870305	13.746806872870305	3.0	0.003270856069893691	0.1616488277233082		32.41747572815534	0.0	0.0	categorical	0.1616488277233082	cramers_v		0.012245730985451946	0.012118926078797857	0.012419537651527035	0.012250766937948106
categorical::tsne__metric-correlation__perplexity-30::DSS	t-SNE	tsne	tsne__metric-correlation__perplexity-30	metric=correlation, perplexity=30	False	4	correlation	30.0				sensitivity	DSS	ok	389	4	2.0	chi_square	14.269817880383194	14.269817880383194	3.0	0.0025599678015346167	0.1703707353157076		19.74293059125964	0.0	0.0	categorical	0.1703707353157076	cramers_v		0.01053574688169272	0.0104050304191407	0.010671170129223103	0.01047663123402606
categorical::tsne__metric-correlation__perplexity-30::DFI	t-SNE	tsne	tsne__metric-correlation__perplexity-30	metric=correlation, perplexity=30	False	4	correlation	30.0				sensitivity	DFI	ok	242	4	2.0	chi_square	7.135845219332422	7.135845219332422	3.0	0.06769168201808776	0.13080453380929646		7.9958677685950414	0.0	0.0	categorical	0.13080453380929646	cramers_v		0.0950635215422669	0.09632810280049255	0.0941887709414639	0.09541312413461642
