test_id	method	method_key	configuration_id	configuration_label	is_primary	k	metric	perplexity	n_neighbors	min_dist	pre_pca_components	analysis_scope	variable	status	n	n_clusters	test	statistic	p_value	epsilon_squared	q_value	q_value_family	q_value_scope	q_value_family_scope
continuous::umap__metric-canberra__nn-15__mindist-0::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-canberra__nn-15__mindist-0	metric=canberra, n_neighbors=15, min_dist=0	False	2	canberra		15.0	0.0		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	2	kruskal_wallis	7.4884714451102905	0.006209524336173983	0.01602091714842047	0.01822969997522748	0.01966546441275651	0.018227524333745772	0.020091123815630028
continuous::umap__metric-canberra__nn-15__mindist-0p1::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-canberra__nn-15__mindist-0p1	metric=canberra, n_neighbors=15, min_dist=0.1	False	2	canberra		15.0	0.1		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	2	kruskal_wallis	4.879441392780236	0.027178413466283472	0.009578867636494409	0.04957487890620526	0.04425323591576003	0.04951506681387036	0.04489713220553961
continuous::umap__metric-canberra__nn-15__mindist-0p5::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-canberra__nn-15__mindist-0p5	metric=canberra, n_neighbors=15, min_dist=0.5	False	2	canberra		15.0	0.5		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	2	kruskal_wallis	4.865751783280279	0.02739486032880383	0.009545066131556245	0.04974809447736217	0.04425323591576003	0.04967342286570341	0.04489713220553961
continuous::umap__metric-canberra__nn-15__mindist-1::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-canberra__nn-15__mindist-1	metric=canberra, n_neighbors=15, min_dist=1	False	2	canberra		15.0	1.0		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	2	kruskal_wallis	3.3532492117180164	0.06707249859708361	0.005810491880785225	0.09454797995010582	0.08126091176185131	0.09370602263016964	0.08076076361689659
continuous::umap__metric-canberra__nn-30__mindist-0::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-canberra__nn-30__mindist-0	metric=canberra, n_neighbors=30, min_dist=0	False	2	canberra		30.0	0.0		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	2	kruskal_wallis	6.170371705350818	0.012990731145446379	0.012766349889755106	0.029069422973007065	0.026400518134294254	0.029219621080813413	0.027373326342190585
continuous::umap__metric-canberra__nn-30__mindist-0p1::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-canberra__nn-30__mindist-0p1	metric=canberra, n_neighbors=30, min_dist=0.1	False	2	canberra		30.0	0.1		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	2	kruskal_wallis	6.367568442817024	0.011622474420428837	0.013253255414363023	0.026889284040483664	0.02524882374093161	0.02701344812263308	0.02637407656943467
continuous::umap__metric-canberra__nn-30__mindist-0p5::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-canberra__nn-30__mindist-0p5	metric=canberra, n_neighbors=30, min_dist=0.5	False	2	canberra		30.0	0.5		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	2	kruskal_wallis	6.611320953505045	0.010133246680874676	0.013855113465444555	0.024481206582998113	0.023927866467346865	0.024595570266553405	0.02420132779840226
continuous::umap__metric-canberra__nn-30__mindist-1::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-canberra__nn-30__mindist-1	metric=canberra, n_neighbors=30, min_dist=1	False	2	canberra		30.0	1.0		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	2	kruskal_wallis	4.646243087646683	0.031121589245947528	0.009003069352214031	0.054231024664746864	0.04782097859743157	0.05400511075032071	0.04832036225028695
continuous::umap__metric-canberra__nn-50__mindist-0::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-canberra__nn-50__mindist-0	metric=canberra, n_neighbors=50, min_dist=0	False	2	canberra		50.0	0.0		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	2	kruskal_wallis	5.405012565269284	0.020079004035375023	0.0108765742352328	0.039154057868981296	0.03614220726367504	0.039087807348052395	0.0370206636902227
continuous::umap__metric-canberra__nn-50__mindist-0p1::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-canberra__nn-50__mindist-0p1	metric=canberra, n_neighbors=50, min_dist=0.1	False	2	canberra		50.0	0.1		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	2	kruskal_wallis	5.056331521509636	0.02453612192935141	0.010015633386443545	0.04619559508077886	0.041777721122949696	0.0461199849558337	0.04257738805387451
continuous::umap__metric-canberra__nn-50__mindist-0p5::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-canberra__nn-50__mindist-0p5	metric=canberra, n_neighbors=50, min_dist=0.5	False	2	canberra		50.0	0.5		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	2	kruskal_wallis	5.535204060359785	0.01863759184944424	0.011198034716937741	0.03752447405836648	0.035580857167120825	0.0375338294495553	0.03665393063724034
continuous::umap__metric-canberra__nn-50__mindist-1::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-canberra__nn-50__mindist-1	metric=canberra, n_neighbors=50, min_dist=1	False	2	canberra		50.0	1.0		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	2	kruskal_wallis	5.311212472226732	0.02118860516232666	0.010644969067226498	0.041024746165355876	0.037080059034071654	0.04093617168640944	0.03788265771446281
continuous::umap__metric-canberra__nn-5__mindist-0::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-canberra__nn-5__mindist-0	metric=canberra, n_neighbors=5, min_dist=0	False	2	canberra		5.0	0.0		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	2	kruskal_wallis	7.241891958974513	0.007122189151949568	0.01541207891104818	0.01942933879548503	0.01966546441275651	0.01942168342164914	0.020091123815630028
continuous::umap__metric-canberra__nn-5__mindist-0p1::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-canberra__nn-5__mindist-0p1	metric=canberra, n_neighbors=5, min_dist=0.1	False	2	canberra		5.0	0.1		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	2	kruskal_wallis	7.253739949318381	0.0070753500253532145	0.015441333208193533	0.019380306591184893	0.01966546441275651	0.01938140524802113	0.020091123815630028
continuous::umap__metric-canberra__nn-5__mindist-0p5::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-canberra__nn-5__mindist-0p5	metric=canberra, n_neighbors=5, min_dist=0.5	False	2	canberra		5.0	0.5		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	2	kruskal_wallis	8.121043209103698	0.0043754373941890705	0.01758282273852765	0.014695096103130887	0.016214856225524203	0.014848553664775947	0.01721005375047701
continuous::umap__metric-canberra__nn-5__mindist-1::age_at_initial_pathologic_diagnosis	UMAP	umap	umap__metric-canberra__nn-5__mindist-1	metric=canberra, n_neighbors=5, min_dist=1	False	2	canberra		5.0	1.0		sensitivity	age_at_initial_pathologic_diagnosis	ok	407	2	kruskal_wallis	7.151147129431208	0.007491605490573909	0.015188017603533846	0.02004446460515727	0.01966546441275651	0.020079939571551	0.020091123815630028
