gene_column	gene_symbol	entrez_id	annotated	complete_in_primary_tumors	total_expression	passes_total_expression	log2_variance	retained_for_expression	retained_for_dimred
KCTD10|83892	KCTD10	83892	True	True	608195.4256952266	True	0.3352640043217941	True	False
KCTD11|147040	KCTD11	147040	True	True	171160.01857315848	True	0.4681672601152519	True	False
KCTD12|115207	KCTD12	115207	True	True	1341014.075064133	True	1.483102863777946	True	True
KCTD1|284252	KCTD1	284252	True	True	163583.02055396826	True	0.9314021874253187	True	True
KCTD13|253980	KCTD13	253980	True	True	100417.01640774653	True	0.43232310988042383	True	False
KCTD14|65987	KCTD14	65987	True	True	201499.17947799136	True	2.121456840903896	True	True
KCTD15|79047	KCTD15	79047	True	True	176437.23076512135	True	1.3253343166509455	True	True
KCTD16|57528	KCTD16	57528	True	True	1771.5912427354983	True	1.7673500181727897	True	True
KCTD17|79734	KCTD17	79734	True	True	94072.74623177692	True	0.7952457751488615	True	True
KCTD18|130535	KCTD18	130535	True	True	134318.29578804632	True	0.17429254278780879	True	False
KCTD19|146212	KCTD19	146212	True	True	2134.0896813400154	True	1.7954196719254407	True	True
KCTD20|222658	KCTD20	222658	True	True	581061.2482583451	True	0.3447498574838918	True	False
KCTD21|283219	KCTD21	283219	True	True	102492.5488830261	True	0.29726340804577844	True	False
KCTD2|23510	KCTD2	23510	True	True	284150.67862199876	True	0.22425835001673988	True	False
KCTD3|51133	KCTD3	51133	True	True	737986.3770674099	True	0.3807186647518334	True	False
KCTD4|386618	KCTD4	386618	True	True	568.9169915634366	True	0.7968489091821951	True	True
KCTD5|54442	KCTD5	54442	True	True	432179.6380278369	True	0.2940523502054639	True	False
KCTD6|200845	KCTD6	200845	True	True	60211.10274595357	True	0.30278561634615736	True	False
KCTD7|154881	KCTD7	154881	True	True	110649.14150056907	True	0.6737106246758484	True	False
KCTD8|386617	KCTD8	386617	True	False		False		False	False
KCTD9|54793	KCTD9	54793	True	True	312430.66650280805	True	0.4107764304729882	True	False
KDELC1|79070	KDELC1	79070	True	True	64671.59303685992	True	0.63777583584779	True	False
KDELC2|143888	KDELC2	143888	True	True	440762.7945092686	True	0.46030680532561696	True	False
KDELR1|10945	KDELR1	10945	True	True	2093750.4195780605	True	0.2673890660173012	True	False
KDELR2|11014	KDELR2	11014	True	True	3531262.2582697277	True	0.32299204629968176	True	False
KDELR3|11015	KDELR3	11015	True	True	512712.7829854955	True	0.9508381946014902	True	True
KDM1A|23028	KDM1A	23028	True	True	768504.8305839455	True	0.2781185715491234	True	False
KDM1B|221656	KDM1B	221656	True	True	321379.3263757294	True	0.4367844547026208	True	False
KDM2A|22992	KDM2A	22992	True	True	1353503.589018778	True	0.26875176466488	True	False
KDM2B|84678	KDM2B	84678	True	True	335265.15075133607	True	0.22429082631379874	True	False
KDM3A|55818	KDM3A	55818	True	True	537426.944946469	True	0.3470392962417136	True	False
KDM3B|51780	KDM3B	51780	True	True	1028695.5643224625	True	0.19109506608714874	True	False
KDM4A|9682	KDM4A	9682	True	True	456335.8519875122	True	0.23023585517250134	True	False
KDM4B|23030	KDM4B	23030	True	True	298506.4251885281	True	0.2576822628709138	True	False
KDM4C|23081	KDM4C	23081	True	True	280382.87671657745	True	0.3413636332647816	True	False
KDM4D|55693	KDM4D	55693	True	True	7761.529274450579	True	0.5583078352489055	True	False
KDM4DL|390245	KDM4DL	390245	True	False		False		False	False
KDM5A|5927	KDM5A	5927	True	True	624007.7868713976	True	0.22243326884537104	True	False
KDM5B|10765	KDM5B	10765	True	True	681553.1957934324	True	0.4072994395775447	True	False
KDM5C|8242	KDM5C	8242	True	True	1041368.7451692163	True	0.2630083105561959	True	False
KDM5D|8284	KDM5D	8284	True	True	169459.08169979037	True	17.06300313242032	True	True
KDM6A|7403	KDM6A	7403	True	True	334615.068640536	True	0.4319208452425284	True	False
KDM6B|23135	KDM6B	23135	True	True	498151.43913750065	True	0.3161043701751547	True	False
KDR|3791	KDR	3791	True	True	368749.9995732475	True	0.8632380824796029	True	True
KDSR|2531	KDSR	2531	True	True	624013.4616326224	True	0.28721809171284246	True	False
KEAP1|9817	KEAP1	9817	True	True	591986.054454926	True	0.22537132742840718	True	False
KEL|3792	KEL	3792	True	True	5105.991397019976	True	3.247967116662856	True	True
KERA|11081	KERA	11081	True	False		False		False	False
KGFLP1|387628	KGFLP1	387628	True	False		False		False	False
KGFLP2|654466	KGFLP2	654466	True	True	16759.458235128055	True	1.0737330050047866	True	True
KHDC1|80759	KHDC1	80759	True	True	12704.435379294777	True	2.1626001115718676	True	True
KHDC1L|100129128	KHDC1L	100129128	True	False		False		False	False
KHDRBS1|10657	KHDRBS1	10657	True	True	1455779.850383143	True	0.07570981088256323	True	False
KHDRBS2|202559	KHDRBS2	202559	True	True	1502.2946045953381	True	1.5708078763069737	True	True
KHDRBS3|10656	KHDRBS3	10656	True	True	75788.51807786139	True	2.091456113101753	True	True
KHK|3795	KHK	3795	True	True	121211.75656928435	True	1.258752803155925	True	True
KHNYN|23351	KHNYN	23351	True	True	810268.6483505482	True	0.1961351793955188	True	False
KHSRP|8570	KHSRP	8570	True	True	1109517.8769318594	True	0.2403168830181489	True	False
KIAA0020|9933	KIAA0020	9933	True	True	339099.9365455763	True	0.5087793373407786	True	False
KIAA0040|9674	KIAA0040	9674	True	True	488002.90287637373	True	0.40103296305801106	True	False
KIAA0087|9808	KIAA0087	9808	True	True	554.7739294426636	True	0.9601380466095918	True	True
KIAA0090|23065	KIAA0090	23065	True	True	552218.4817152831	True	0.25513411152088056	True	False
KIAA0100|9703	KIAA0100	9703	True	True	1757215.8426025752	True	0.29780092362369553	True	False
KIAA0101|9768	KIAA0101	9768	True	True	296651.67688705213	True	0.9766582559944343	True	True
KIAA0114|57291	KIAA0114	57291	True	True	344354.63653402595	True	0.9176149287842458	True	True
KIAA0125|9834	KIAA0125	9834	True	True	32244.589298256164	True	4.887471141554959	True	True
KIAA0141|9812	KIAA0141	9812	True	True	370849.5173141153	True	0.187524447669233	True	False
KIAA0146|23514	KIAA0146	23514	True	True	362339.8369030741	True	0.20859271482412647	True	False
KIAA0174|9798	KIAA0174	9798	True	True	1007800.8193341284	True	0.12634057850077085	True	False
KIAA0182|23199	KIAA0182	23199	True	True	723192.8857948026	True	0.347700325670548	True	False
KIAA0195|9772	KIAA0195	9772	True	True	604357.6426261205	True	0.2785928081368477	True	False
KIAA0196|9897	KIAA0196	9897	True	True	662563.1054794033	True	0.2538451854677785	True	False
KIAA0226|9711	KIAA0226	9711	True	True	332195.22852914117	True	0.2961521417077844	True	False
KIAA0232|9778	KIAA0232	9778	True	True	439578.68574480317	True	0.2897371065185883	True	False
KIAA0240|23506	KIAA0240	23506	True	True	282943.04167180706	True	0.3782756086085909	True	False
KIAA0247|9766	KIAA0247	9766	True	True	685401.4418166566	True	0.32935194332805395	True	False
KIAA0284|283638	KIAA0284	283638	True	True	1036581.7276545768	True	0.4690873089852753	True	False
KIAA0317|9870	KIAA0317	9870	True	True	413624.5734838337	True	0.2398276572229674	True	False
KIAA0319|9856	KIAA0319	9856	True	True	7619.778881843457	True	2.7156487233956996	True	True
KIAA0319L|79932	KIAA0319L	79932	True	True	733116.3523403371	True	0.2708179551782551	True	False
KIAA0355|9710	KIAA0355	9710	True	True	278811.0736989131	True	0.4385853205768156	True	False
KIAA0368|23392	KIAA0368	23392	True	True	1175549.5081503135	True	0.22603538547120378	True	False
KIAA0391|9692	KIAA0391	9692	True	True	246913.61275637336	True	0.16723038083654476	True	False
KIAA0406|9675	KIAA0406	9675	True	True	328621.93459547835	True	0.3368030759334888	True	False
