perplexity	kl_divergence	n_iter	effective_learning_rate	trustworthiness_k15	mean_jaccard_k15	trustworthiness_k30	mean_jaccard_k30
5.0	1.3124457597732544	999	50.0	0.8616155439638605	0.23064636718338702	0.8269948387837367	0.24580992942513366
15.0	1.2571687698364258	999	50.0	0.8737107012420862	0.25246546752761706	0.8369013717620983	0.25627213352046946
30.0	1.0190091133117676	999	50.0	0.8719207826889959	0.2505323200655797	0.8492196364631761	0.2745424261777058
50.0	0.8741419911384583	999	50.0	0.8842093659786524	0.26305919354190616	0.866503971355029	0.28842863835214627
