method	method_key	configuration_id	configuration_label	is_primary	source_file	metric	perplexity	n_neighbors	min_dist	pre_pca_components	k	silhouette	calinski_harabasz	davies_bouldin	inertia	min_cluster_size	max_cluster_size	cluster_size_ratio
UMAP	umap	umap__metric-canberra__nn-30__mindist-1	metric=canberra, n_neighbors=30, min_dist=1	False	analysis/umap/umap_sensitivity_scores.tsv.gz	canberra		30.0	1.0		2	0.4701596847215131	521.5933710696635	0.8077092767199151	2873.828179841536	179	233	0.7682403433476395
UMAP	umap	umap__metric-canberra__nn-50__mindist-0	metric=canberra, n_neighbors=50, min_dist=0	False	analysis/umap/umap_sensitivity_scores.tsv.gz	canberra		50.0	0.0		2	0.6104712244697201	1058.2366479396314	0.5389264446959878	757.7084307220707	159	253	0.6284584980237155
UMAP	umap	umap__metric-canberra__nn-50__mindist-0p1	metric=canberra, n_neighbors=50, min_dist=0.1	False	analysis/umap/umap_sensitivity_scores.tsv.gz	canberra		50.0	0.1		2	0.5755972560413841	895.1832008670332	0.6074639486223169	878.3964522134138	172	240	0.7166666666666667
UMAP	umap	umap__metric-canberra__nn-50__mindist-0p5	metric=canberra, n_neighbors=50, min_dist=0.5	False	analysis/umap/umap_sensitivity_scores.tsv.gz	canberra		50.0	0.5		2	0.5089617133253855	628.9939875334504	0.7291134522459379	1599.5493730315718	174	238	0.7310924369747899
UMAP	umap	umap__metric-canberra__nn-50__mindist-1	metric=canberra, n_neighbors=50, min_dist=1	False	analysis/umap/umap_sensitivity_scores.tsv.gz	canberra		50.0	1.0		2	0.47065732747074096	512.303682569753	0.8129316174780613	2678.294336491199	180	232	0.7758620689655172
UMAP	umap	umap__metric-canberra__nn-5__mindist-0	metric=canberra, n_neighbors=5, min_dist=0	False	analysis/umap/umap_sensitivity_scores.tsv.gz	canberra		5.0	0.0		2	0.6325737826109075	1082.2934374244617	0.5517824181069471	1742.9483290427802	200	212	0.9433962264150944
UMAP	umap	umap__metric-canberra__nn-5__mindist-0p1	metric=canberra, n_neighbors=5, min_dist=0.1	False	analysis/umap/umap_sensitivity_scores.tsv.gz	canberra		5.0	0.1		2	0.5876330834415922	887.1134120392195	0.5919131715869952	1759.5564263979138	172	240	0.7166666666666667
UMAP	umap	umap__metric-canberra__nn-5__mindist-0p5	metric=canberra, n_neighbors=5, min_dist=0.5	False	analysis/umap/umap_sensitivity_scores.tsv.gz	canberra		5.0	0.5		2	0.47152026564806465	485.46450177101366	0.8209425547284535	2795.2116557430445	178	234	0.7606837606837606
UMAP	umap	umap__metric-canberra__nn-5__mindist-1	metric=canberra, n_neighbors=5, min_dist=1	False	analysis/umap/umap_sensitivity_scores.tsv.gz	canberra		5.0	1.0		2	0.4341252574556918	401.96620619672143	0.9083215771979297	4862.21183828522	182	230	0.7913043478260869
UMAP	umap	umap__metric-cosine__nn-15__mindist-0	metric=cosine, n_neighbors=15, min_dist=0	False	analysis/umap/umap_sensitivity_scores.tsv.gz	cosine		15.0	0.0		3	0.5379282668488072	659.5449434148912	0.6489320368301467	739.8863795102666	78	187	0.41711229946524064
UMAP	umap	umap__metric-cosine__nn-15__mindist-0p1	metric=cosine, n_neighbors=15, min_dist=0.1	False	analysis/umap/umap_sensitivity_scores.tsv.gz	cosine		15.0	0.1		3	0.4918759297658693	526.5516523672653	0.6985474773873565	868.9155331592417	80	177	0.4519774011299435
UMAP	umap	umap__metric-cosine__nn-15__mindist-0p5	metric=cosine, n_neighbors=15, min_dist=0.5	False	analysis/umap/umap_sensitivity_scores.tsv.gz	cosine		15.0	0.5		3	0.43126904353079343	422.480404867273	0.8170926691834168	1401.840861185713	91	166	0.5481927710843374
UMAP	umap	umap__metric-cosine__nn-15__mindist-1	metric=cosine, n_neighbors=15, min_dist=1	False	analysis/umap/umap_sensitivity_scores.tsv.gz	cosine		15.0	1.0		3	0.4116195593535661	383.6538059207836	0.8317948375943228	2371.8642978853186	93	164	0.5670731707317073
UMAP	umap	umap__metric-cosine__nn-30__mindist-0	metric=cosine, n_neighbors=30, min_dist=0	False	analysis/umap/umap_sensitivity_scores.tsv.gz	cosine		30.0	0.0		2	0.5113986547075355	631.2007159661052	0.743837609368314	920.2790203128131	199	213	0.9342723004694836
UMAP	umap	umap__metric-cosine__nn-30__mindist-0p1	metric=cosine, n_neighbors=30, min_dist=0.1	False	analysis/umap/umap_sensitivity_scores.tsv.gz	cosine		30.0	0.1		2	0.4860061877060996	543.7640137717749	0.802869812445086	1006.13634949337	198	214	0.9252336448598131
UMAP	umap	umap__metric-cosine__nn-30__mindist-0p5	metric=cosine, n_neighbors=30, min_dist=0.5	False	analysis/umap/umap_sensitivity_scores.tsv.gz	cosine		30.0	0.5		2	0.4295304452129029	403.38302019345605	0.9262996431821464	1766.6802069799521	205	207	0.9903381642512077
