configuration_id	configuration_label	is_primary	n_neighbors	min_dist	metric	trustworthiness_k15	mean_jaccard_k15	trustworthiness_k30	mean_jaccard_k30
umap__metric-euclidean__nn-5__mindist-0p1	metric=euclidean, n_neighbors=5, min_dist=0.1	False	5	0.1	euclidean	0.8536892371943661	0.22775842265532598	0.8301710397930215	0.25588017983550126
umap__metric-euclidean__nn-5__mindist-0p5	metric=euclidean, n_neighbors=5, min_dist=0.5	False	5	0.5	euclidean	0.8445229241021289	0.22391431620014318	0.8230354044424429	0.24950013207462884
umap__metric-euclidean__nn-5__mindist-1	metric=euclidean, n_neighbors=5, min_dist=1	False	5	1.0	euclidean	0.8316939958902172	0.20458031918365846	0.8246753820138898	0.2453556853036024
umap__metric-euclidean__nn-15__mindist-0	metric=euclidean, n_neighbors=15, min_dist=0	False	15	0.0	euclidean	0.8672386253026181	0.24337135306800067	0.8485798928904136	0.2715879157020674
umap__metric-euclidean__nn-15__mindist-0p1	metric=euclidean, n_neighbors=15, min_dist=0.1	True	15	0.1	euclidean	0.8588788778795517	0.2331618047671985	0.8415349872183737	0.26375305414948874
umap__metric-euclidean__nn-15__mindist-0p5	metric=euclidean, n_neighbors=15, min_dist=0.5	False	15	0.5	euclidean	0.8359984525919085	0.21389309541402338	0.8351459401228272	0.25821967996359596
umap__metric-euclidean__nn-15__mindist-1	metric=euclidean, n_neighbors=15, min_dist=1	False	15	1.0	euclidean	0.8279194848628547	0.1983105773091015	0.830448747665532	0.2548055712076901
umap__metric-euclidean__nn-30__mindist-0	metric=euclidean, n_neighbors=30, min_dist=0	False	30	0.0	euclidean	0.8576887879468557	0.23856486323444084	0.8475776721104473	0.27720234192230037
umap__metric-euclidean__nn-30__mindist-0p1	metric=euclidean, n_neighbors=30, min_dist=0.1	False	30	0.1	euclidean	0.8531634512192078	0.22789387510870146	0.8454628538126333	0.275540586037114
umap__metric-euclidean__nn-30__mindist-0p5	metric=euclidean, n_neighbors=30, min_dist=0.5	False	30	0.5	euclidean	0.8349198425969834	0.2003475337039838	0.83819719466483	0.2653272217455957
umap__metric-euclidean__nn-30__mindist-1	metric=euclidean, n_neighbors=30, min_dist=1	False	30	1.0	euclidean	0.8267739037112836	0.18731531057653852	0.8295809657523058	0.2537327016781023
umap__metric-euclidean__nn-50__mindist-0	metric=euclidean, n_neighbors=50, min_dist=0	False	50	0.0	euclidean	0.858282377018494	0.22490875568257535	0.8453774222175128	0.2711118185826748
umap__metric-euclidean__nn-50__mindist-0p1	metric=euclidean, n_neighbors=50, min_dist=0.1	False	50	0.1	euclidean	0.8538369065149208	0.21790916172764258	0.8445390005165632	0.2690464124181944
umap__metric-euclidean__nn-50__mindist-0p5	metric=euclidean, n_neighbors=50, min_dist=0.5	False	50	0.5	euclidean	0.8305796124824253	0.19173222256102088	0.8319311072552837	0.25566723445832173
umap__metric-euclidean__nn-50__mindist-1	metric=euclidean, n_neighbors=50, min_dist=1	False	50	1.0	euclidean	0.8235210189599088	0.17805804868391167	0.8287681514545446	0.24674100085401682
