test_id	method	method_key	k	variable	status	n	n_clusters	n_categories	test	statistic	chi_square_statistic	degrees_of_freedom	p_value	cramers_v	fisher_odds_ratio	min_expected_count	cells_expected_lt5	fraction_cells_expected_lt5	q_value_family	q_value
categorical::mds::center_code	MDS	mds	3	center_code	ok	412	3	2	chi_square	1.2625955512467502	1.2625955512467502	2	0.5319010646576852	0.0		62.949029126213595	0	0.0	0.5673611356348641	0.576226153379159
categorical::mds::gender	MDS	mds	3	gender	ok	412	3	2	chi_square	2.2527679086245844	2.2527679086245844	2	0.32420347394100507	0.024559535694706657		47.45388349514563	0	0.0	0.38904416872920605	0.39206001499842474
categorical::mds::race	MDS	mds	3	race	ok	358	3	4	permutation_chi_square_5000	4.838573584013446	4.838573584013446	6	0.591881623675265	0.0		0.31564245810055863	6	0.5	0.6044748497109089	0.6155568886222755
categorical::mds::ajcc_pathologic_tumor_stage	MDS	mds	3	ajcc_pathologic_tumor_stage	ok	388	3	11	permutation_chi_square_5000	21.141436429081082	21.141436429081082	20	0.3967206558688262	0.03757154544456817		0.6288659793814433	6	0.18181818181818182	0.4428509646907828	0.44846682837345575
categorical::mds::histological_type	MDS	mds	3	histological_type	ok	410	3	7	permutation_chi_square_5000	14.949658121425626	14.949658121425626	12	0.25154969006198763	0.05982360989227064		2.2536585365853656	6	0.2857142857142857	0.31774697692040543	0.31903863129813065
categorical::mds::histological_grade	MDS	mds	3	histological_grade	ok	412	3	4	permutation_chi_square_5000	7.88904180995767	7.88904180995767	6	0.244751049790042	0.04781143752003263		2.9053398058252426	6	0.5	0.3175148754032977	0.31817636472705463
categorical::mds::tumor_status	MDS	mds	3	tumor_status	ok	369	3	2	chi_square	1.5395719435444482	1.5395719435444482	2	0.46311217678330274	0.0		43.612466124661246	0	0.0	0.505213283763603	0.5123794296325903
categorical::mds::vital_status	MDS	mds	3	vital_status	ok	411	3	2	chi_square	3.4333150609392966	3.4333150609392966	2	0.17966567244288198	0.05902553208926525		51.065693430656935	0	0.0	0.24639863649309526	0.24585828860604905
categorical::mds::OS	MDS	mds	3	OS	ok	412	3	2	chi_square	3.465508770908828	3.465508770908828	2	0.1767967722491791	0.05961456160821424		51.327669902912625	0	0.0	0.24639863649309526	0.24585828860604905
categorical::mds::DSS	MDS	mds	3	DSS	ok	389	3	2	chi_square	3.9047533656726436	3.9047533656726436	2	0.14193633275054743	0.0699707476583063		31.34190231362468	0	0.0	0.2114486193670357	0.20998022617698686
categorical::mds::DFI	MDS	mds	3	DFI	ok	242	3	2	chi_square	1.0520432731461153	1.0520432731461153	2	0.5909513183818635	0.0		13.148760330578513	0	0.0	0.6044748497109089	0.6155568886222755
categorical::mds::PFI	MDS	mds	3	PFI	ok	412	3	2	chi_square	1.8987524274896534	1.8987524274896534	2	0.3869823424471542	0.0		42.93446601941748	0	0.0	0.4422655342253191	0.4471795957167115
