method	method_key	configuration_id	configuration_label	is_primary	source_file	metric	perplexity	n_neighbors	min_dist	pre_pca_components	k	silhouette	calinski_harabasz	davies_bouldin	inertia	min_cluster_size	max_cluster_size	cluster_size_ratio
t-SNE	tsne	tsne__metric-euclidean__perplexity-15	metric=euclidean, perplexity=15	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	15.0				4	0.39574092048944587	409.40050266633284	0.8067883898036561	45930.202469227675	95	122	0.7786885245901639
t-SNE	tsne	tsne__metric-euclidean__perplexity-15	metric=euclidean, perplexity=15	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	15.0				5	0.3865286115911741	415.50035345492154	0.8494739335777537	36233.35984768779	65	106	0.6132075471698113
t-SNE	tsne	tsne__metric-euclidean__perplexity-15	metric=euclidean, perplexity=15	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	15.0				6	0.3934097242783819	416.59501836884397	0.8403724936986916	30045.571450996984	49	86	0.5697674418604651
t-SNE	tsne	tsne__metric-euclidean__perplexity-15	metric=euclidean, perplexity=15	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	15.0				7	0.3928824685304962	426.4847320259686	0.7816671424753069	25168.957775024734	41	82	0.5
t-SNE	tsne	tsne__metric-euclidean__perplexity-15	metric=euclidean, perplexity=15	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	15.0				8	0.4166153437171691	451.09744359135794	0.7644342457098723	20893.01885569324	22	74	0.2972972972972973
t-SNE	tsne	tsne__metric-euclidean__perplexity-15	metric=euclidean, perplexity=15	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	15.0				9	0.4102229090978297	466.8362070387354	0.7619743277768111	17939.986745240658	22	64	0.34375
t-SNE	tsne	tsne__metric-euclidean__perplexity-15	metric=euclidean, perplexity=15	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	15.0				10	0.4023214114425384	475.6777354641262	0.7482363551819831	15811.302304216839	22	57	0.38596491228070173
t-SNE	tsne	tsne__metric-euclidean__perplexity-30	metric=euclidean, perplexity=30	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	30.0				2	0.36730008306099154	284.96605021428627	1.0888339869121149	31175.00814304379	198	214	0.9252336448598131
t-SNE	tsne	tsne__metric-euclidean__perplexity-30	metric=euclidean, perplexity=30	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	30.0				3	0.3980867502579753	356.0976704817963	0.8639618208217336	19276.506622644712	120	148	0.8108108108108109
t-SNE	tsne	tsne__metric-euclidean__perplexity-30	metric=euclidean, perplexity=30	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	30.0				4	0.38640081563428047	371.6026478502687	0.8435325295421713	14157.981410239152	96	108	0.8888888888888888
t-SNE	tsne	tsne__metric-euclidean__perplexity-30	metric=euclidean, perplexity=30	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	30.0				5	0.37525668872730567	369.7287407015351	0.8332088642012367	11404.036831517167	74	98	0.7551020408163265
t-SNE	tsne	tsne__metric-euclidean__perplexity-30	metric=euclidean, perplexity=30	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	30.0				6	0.3905046354518771	392.75332157518926	0.7971923860510648	9053.296964536934	56	80	0.7
t-SNE	tsne	tsne__metric-euclidean__perplexity-30	metric=euclidean, perplexity=30	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	30.0				7	0.37593683267506467	386.2648445992527	0.8191404451890593	7860.664039703525	42	72	0.5833333333333334
t-SNE	tsne	tsne__metric-euclidean__perplexity-30	metric=euclidean, perplexity=30	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	30.0				8	0.38462000521605394	392.94888221107607	0.7734451893413246	6767.333323976796	34	63	0.5396825396825397
t-SNE	tsne	tsne__metric-euclidean__perplexity-30	metric=euclidean, perplexity=30	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	30.0				9	0.39022140248686155	401.4589915803179	0.7886876603583676	5891.453680156546	27	66	0.4090909090909091
t-SNE	tsne	tsne__metric-euclidean__perplexity-30	metric=euclidean, perplexity=30	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	30.0				10	0.3766500975519217	404.4498113415452	0.8103624245142755	5255.461541619846	26	51	0.5098039215686274
t-SNE	tsne	tsne__metric-euclidean__perplexity-50	metric=euclidean, perplexity=50	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	50.0				2	0.4304995587579204	420.2286189322359	0.9081084400919714	9889.764657095064	200	212	0.9433962264150944
t-SNE	tsne	tsne__metric-euclidean__perplexity-50	metric=euclidean, perplexity=50	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	50.0				3	0.4139188970599299	400.675536445737	0.8642350198645632	6767.242644374038	101	180	0.5611111111111111
t-SNE	tsne	tsne__metric-euclidean__perplexity-50	metric=euclidean, perplexity=50	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	50.0				4	0.3821415156826561	398.6461935063775	0.8850227257284196	5094.1558714802495	84	124	0.6774193548387096
t-SNE	tsne	tsne__metric-euclidean__perplexity-50	metric=euclidean, perplexity=50	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	50.0				5	0.40092427069624686	433.1690758197748	0.7949313264089153	3809.3083833588826	74	95	0.7789473684210526
t-SNE	tsne	tsne__metric-euclidean__perplexity-50	metric=euclidean, perplexity=50	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	50.0				6	0.3828713163189199	418.2472548094795	0.8635872033743128	3255.863574690041	40	91	0.43956043956043955
t-SNE	tsne	tsne__metric-euclidean__perplexity-50	metric=euclidean, perplexity=50	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	50.0				7	0.3686823205162199	411.9715582587393	0.8616899661853038	2819.2963081517505	37	75	0.49333333333333335
t-SNE	tsne	tsne__metric-euclidean__perplexity-50	metric=euclidean, perplexity=50	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	50.0				8	0.3619270089882105	406.5191958092814	0.8174461062588099	2489.6979733231933	24	67	0.3582089552238806
t-SNE	tsne	tsne__metric-euclidean__perplexity-50	metric=euclidean, perplexity=50	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	50.0				9	0.37115953580615346	407.6190219590942	0.8033231338897933	2202.6984693145664	24	65	0.36923076923076925
t-SNE	tsne	tsne__metric-euclidean__perplexity-50	metric=euclidean, perplexity=50	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	euclidean	50.0				10	0.37569999992628644	417.1084421640427	0.8130202933905887	1937.103494116112	22	65	0.3384615384615385
t-SNE	tsne	tsne__metric-cosine__perplexity-5	metric=cosine, perplexity=5	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	5.0				2	0.4084516952750914	302.65859302773566	1.0241810159406382	329412.4302621094	180	232	0.7758620689655172
t-SNE	tsne	tsne__metric-cosine__perplexity-5	metric=cosine, perplexity=5	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	5.0				3	0.46123902157759084	407.9634687199965	0.7286149305629666	191183.66162875528	74	183	0.40437158469945356
t-SNE	tsne	tsne__metric-cosine__perplexity-5	metric=cosine, perplexity=5	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	5.0				4	0.4558804504532053	489.3994811653373	0.7620565709277544	124514.24634123713	73	125	0.584
t-SNE	tsne	tsne__metric-cosine__perplexity-5	metric=cosine, perplexity=5	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	5.0				5	0.4390288520411983	482.86023828459656	0.84673227667959	99656.50529545362	69	106	0.6509433962264151
t-SNE	tsne	tsne__metric-cosine__perplexity-5	metric=cosine, perplexity=5	False	analysis/tsne/tsne_sensitivity_scores.tsv.gz	cosine	5.0				6	0.4411309325547853	493.8178474195899	0.7586105387020279	80856.01945184231	56	90	0.6222222222222222
